2025-08-14 18:04:20,098 - __main__ - INFO - ==================================================
2025-08-14 18:04:20,098 - __main__ - INFO - Kalshi Terminal Starting
2025-08-14 18:04:20,098 - __main__ - INFO - ==================================================
2025-08-14 18:04:20,098 - __main__ - INFO - Starting Kalshi Terminal Orchestrator
2025-08-14 18:04:20,098 - __main__ - INFO - Initializing infrastructure
2025-08-14 18:04:20,100 - core.state.redis_store - INFO - Connected to Redis
2025-08-14 18:04:20,100 - __main__ - INFO - Infrastructure initialized
2025-08-14 18:04:20,100 - __main__ - INFO - Starting venue adapters
2025-08-14 18:04:20,100 - __main__ - INFO - Starting Kalshi adapter
2025-08-14 18:04:20,129 - __main__ - INFO - Kalshi adapter started
2025-08-14 18:04:20,129 - __main__ - INFO - Started 1 adapters
2025-08-14 18:04:20,129 - adapters.kalshi.adapter - INFO - Starting Kalshi adapter
2025-08-14 18:04:20,129 - adapters.kalshi.adapter - INFO - Discovering target markets
2025-08-14 18:04:20,715 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 100
2025-08-14 18:04:21,109 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 200
2025-08-14 18:04:21,502 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 300
2025-08-14 18:04:21,880 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 400
2025-08-14 18:04:22,047 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 500
2025-08-14 18:04:22,412 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 600
2025-08-14 18:04:22,786 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 700
2025-08-14 18:04:23,157 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 800
2025-08-14 18:04:23,321 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 900
2025-08-14 18:04:23,485 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1000
2025-08-14 18:04:23,651 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1100
2025-08-14 18:04:23,819 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1200
2025-08-14 18:04:23,989 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1300
2025-08-14 18:04:24,155 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1400
2025-08-14 18:04:24,343 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1500
2025-08-14 18:04:24,755 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1600
2025-08-14 18:04:24,916 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1700
2025-08-14 18:04:25,280 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1800
2025-08-14 18:04:25,644 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 1900
2025-08-14 18:04:25,815 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2000
2025-08-14 18:04:25,974 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2100
2025-08-14 18:04:26,136 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2200
2025-08-14 18:04:26,498 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2300
2025-08-14 18:04:26,846 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2400
2025-08-14 18:04:27,010 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2500
2025-08-14 18:04:27,360 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2600
2025-08-14 18:04:27,574 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2700
2025-08-14 18:04:27,744 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2800
2025-08-14 18:04:27,909 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 2900
2025-08-14 18:04:28,262 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3000
2025-08-14 18:04:28,494 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3100
2025-08-14 18:04:28,838 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3200
2025-08-14 18:04:29,005 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3300
2025-08-14 18:04:29,252 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3400
2025-08-14 18:04:29,438 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3500
2025-08-14 18:04:29,618 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3600
2025-08-14 18:04:29,957 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3700
2025-08-14 18:04:30,296 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3800
2025-08-14 18:04:30,458 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 3900
2025-08-14 18:04:30,799 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4000
2025-08-14 18:04:30,974 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4100
2025-08-14 18:04:31,301 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4200
2025-08-14 18:04:31,635 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4300
2025-08-14 18:04:31,824 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4400
2025-08-14 18:04:31,987 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4500
2025-08-14 18:04:32,161 - adapters.kalshi.client - INFO - Fetched 100 markets, total: 4600
